AtlasCourseId,CourseReference,DORSCourseIdentifier,DORSForceContractIdentifier,AtlasVenueId,VenueName,DORSSiteIdentifier,CourseStartDateAndTime,CourseEndDateAndTime,CourseType,CourseEnabled,DORSSChemeName,DORSSchemeIdentifier,Notes
5749,MB1155,2666993,634,24,TAD Centre,152,2017-11-25 08:30,2017-11-25 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 26 2017  9:10AM BY: Joanne Coulter  Client Name: Mr Arthur Franklin, Id: 64803 - transferred into this course from course Id: 5636  ------------------------------------  ,NOTE ADDED: Sep 26 2017  9:10AM BY: Joanne Coulter    ------------------------------------  ,NOTE ADDED: Oct  3 2017  1:18PM BY: LCrossman  Client Name: Mr David Walker, Id: 64256 - transferred into this course from course Id: 5572  ------------------------------------  ,NOTE ADDED: Oct  3 2017  1:18PM BY: LCrossman    ------------------------------------  ,NOTE ADDED: Oct  3 2017  2:45PM BY: LCrossman  Client Name: Mr Craig Armstrong, Id: 61634 - transferred into this course from course Id: 5495  ------------------------------------  ,NOTE ADDED: Oct  3 2017  2:45PM BY: LCrossman    ------------------------------------  "
5671,D4C80C,2666097,223,24,TAD Centre,152,2017-11-24 15:00,2017-11-24 17:15,Driving 4 Change,YES,Driving 4 Change Course,5,NULL
5671,D4C80C,2666097,636,24,TAD Centre,152,2017-11-24 15:00,2017-11-24 17:15,Driving 4 Change,YES,Driving 4 Change Course,5,NULL
5701,CH196A,2666983,639,5,Chester-le-Street Cricket Club,624,2017-11-24 13:30,2017-11-24 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Oct  6 2017  3:12PM BY: Ellie Sumpton  Client Name: Adam Boyd, Id: 64008 - transferred into this course from course Id: 5610  ------------------------------------  ,NOTE ADDED: Oct  6 2017  3:12PM BY: Ellie Sumpton    ------------------------------------  "
5746,ST700A,2666990,634,9,Durham Tees Valley Business Centre,709,2017-11-24 13:30,2017-11-24 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Oct  5 2017  8:41AM BY: Ellie Sumpton  Client Name: Ms Ashleigh Hedley, Id: 64949 - transferred into this course from course Id: 5732  ------------------------------------  ,NOTE ADDED: Oct  5 2017  8:41AM BY: Ellie Sumpton    ------------------------------------  "
5670,D4C80B,2666096,223,24,TAD Centre,152,2017-11-24 11:45,2017-11-24 14:00,Driving 4 Change,YES,Driving 4 Change Course,5,NULL
5670,D4C80B,2666096,636,24,TAD Centre,152,2017-11-24 11:45,2017-11-24 14:00,Driving 4 Change,YES,Driving 4 Change Course,5,NULL
5669,D4C80A,2666095,223,24,TAD Centre,152,2017-11-24 09:00,2017-11-24 11:15,Driving 4 Change,YES,Driving 4 Change Course,5,NULL
5669,D4C80A,2666095,636,24,TAD Centre,152,2017-11-24 09:00,2017-11-24 11:15,Driving 4 Change,YES,Driving 4 Change Course,5,NULL
5700,CH196,2666982,639,5,Chester-le-Street Cricket Club,624,2017-11-24 08:30,2017-11-24 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5745,ST700,2666989,634,9,Durham Tees Valley Business Centre,709,2017-11-24 08:30,2017-11-24 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5699,DC94A,2666981,639,18,Signature,708,2017-11-23 13:30,2017-11-23 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5744,ST699A,2666988,634,9,Durham Tees Valley Business Centre,709,2017-11-23 13:30,2017-11-23 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 26 2017  1:18PM BY: Ellie Sumpton  Client Name: Dominic Knight, Id: 64233 - transferred into this course from course Id: 5589  ------------------------------------  ,NOTE ADDED: Sep 26 2017  1:18PM BY: Ellie Sumpton    ------------------------------------  "
5748,WDU55A,2666992,NULL,24,TAD Centre,152,2017-11-23 13:00,2017-11-23 16:15,What's Driving Us?,YES,What's Driving Us? Course,6,"NOTE ADDED: Oct  6 2017 12:48PM BY: LCrossman  Client Name: Darren Turnbull, Id: 65144 - transferred out of this course on to Course Id: 5604  ------------------------------------  ,NOTE ADDED: Oct  6 2017 12:48PM BY: LCrossman    ------------------------------------  "
